id,75% ver_magdisp,75% hor_magdisp,75% dia_magdisp,75% tor_magdisp,75% ver_stress,75% hor_stress,75% dia_stress,75% tor_stress
69,0.656438675,0.452189325,0.42475975,0.199533975,128.05147499999998,144.4573,123.86955,87.92567249999999
134,0.7910043,0.500428,0.35245974999999996,0.045394875,203.57375000000002,156.03595,107.7712,59.303354999999996
135,0.79890935,0.49695275,0.360602425,0.04496698,205.8741,155.73084999999998,108.180525,58.50789
213,0.5652249,0.2962336,0.3350426,0.0184304,154.2685,122.5748,110.8299,40.72522
20,0.4364289,0.41741554999999997,0.313433075,0.052924427499999996,200.993125,191.41705,164.82485,70.8580875
21,1.11096825,0.629448175,1.0228595,0.167179175,291.558225,269.509775,206.77960000000002,156.03325
281,0.5835385,0.4721887,0.5370451,0.08924223,207.5939,159.4474,169.3122,65.72099
280,0.1722246,0.2003918,0.1542819,0.0111134,89.29607,113.8704,74.61948,20.05014
14,0.60875845,0.46886045,0.24394475,0.01854349,148.57915,125.47305,81.290925,38.51666
149,0.783432425,0.749635925,0.28811512499999997,0.040403595,169.9768,162.09660000000002,112.0881,60.88794
15,0.29803630000000003,0.32203997500000003,0.16801705,0.059788285000000004,128.78164999999998,142.12595,94.239415,64.52709250000001
148,0.992908725,0.723901825,0.4707786,0.0359397425,245.20600000000002,218.027025,174.987375,51.095324999999995
86,0.09671220999999999,0.060456985,0.064765625,0.007898417,50.756460000000004,34.736835,38.542875,12.89594
87,0.3305471,0.2115263,0.2106899,0.02071582,103.151,103.2642,81.95806,30.36833
101,0.31871554999999996,0.260400275,0.29701515,0.02576281,155.2636,166.1533,122.06515,51.2581075
192,0.2560339,0.152634,0.1668382,0.01519017,103.7946,80.87944,85.2375,29.01025
